0x0000,0x18,RegMap1
0x0001,0x00,RegMap1
0x0002,0x00,RegMap1
0x0004,0x00,RegMap1
0x0005,0x00,RegMap1
0x0006,0x00,RegMap1
0x000C,0x00,RegMap1
0x000D,0x00,RegMap1
0x0010,0x39,RegMap1
0x0011,0x00,RegMap1
0x0012,0x40,RegMap1
0x0014,0x00,RegMap1
0x0015,0x00,RegMap1
0x0016,0x00,RegMap1
0x0017,0x01,RegMap1
0x0018,0x00,RegMap1
0x0019,0x01,RegMap1
0x001A,0x00,RegMap1
0x001B,0x00,RegMap1
0x001C,0x00,RegMap1
0x001D,0x00,RegMap1
0x001E,0x0F8,RegMap1
0x001F,0x01,RegMap1
0x0020,0x14,RegMap1
0x0021,0x00,RegMap1
0x0022,0x00,RegMap1
0x0023,0x00,RegMap1
0x0024,0x080,RegMap1
0x0025,0x0B,RegMap1
0x0026,0x68,RegMap1
0x0027,0x0DD,RegMap1
0x0028,0x083,RegMap1
0x002A,0x00,RegMap1
0x002B,0x00,RegMap1
0x002C,0x44,RegMap1
0x002D,0x11,RegMap1
0x002E,0x12,RegMap1
0x002F,0x094,RegMap1
0x0030,0x2A,RegMap1
0x0031,0x02,RegMap1
0x0032,0x04,RegMap1
0x0033,0x22,RegMap1
0x0034,0x085,RegMap1
0x0035,0x4C,RegMap1
0x0036,0x30,RegMap1
0x0037,0x00,RegMap1
0x0038,0x00,RegMap1
0x0039,0x07,RegMap1
0x003A,0x55,RegMap1
0x003D,0x00,RegMap1
0x003E,0x0C,RegMap1
0x003F,0x080,RegMap1
0x0040,0x50,RegMap1
0x0041,0x28,RegMap1
0x0042,0x00,RegMap1
0x0043,0x00,RegMap1
0x0044,0x00,RegMap1
0x0045,0x00,RegMap1
0x0046,0x00,RegMap1
0x0047,0x0C0,RegMap1
0x0052,0x0F4,RegMap1
0x006C,0x00,RegMap1
0x006E,0x00,RegMap1
0x006F,0x00,RegMap1
0x0070,0x63,RegMap1
0x0072,0x32,RegMap1
0x0073,0x00,RegMap1
0x0079,0x00,RegMap1
0x007A,0x00,RegMap1
0x007B,0x00,RegMap1
0x007C,0x00,RegMap1